,Common Name,Order,Family,Genus,Binomial,Pri Head Col,Sec Head Col,Head Pattern,Num Head Cols,Chest Bib,Sec Body Col,Rump Patch,Pri Rump Col,Pri Tail Col,Sec Tail Col,Tail Pattern,Num Tail Cols,Countershaded,Activity Cycle,Social Group Size,Dimorphism Magnitude,Mating System,Species Overlap,Head Dichromatism,Body Dichromatism
1,Fynbos Golden Mole,Afrosoricida,Chrysochloridae,Amblysomus,Amblysomus corriae,B3,G1,1,2,0,NA,0,B5,NA,NA,NA,NA,0,1,1,1.85,NA,0,0,0
2,Zulu Golden Mole,Afrosoricida,Chrysochloridae,Amblysomus,Amblysomus hottentotus,F4,G3,1,2,0,F4,0,F4,NA,NA,NA,NA,1,4,1,25.77,NA,1,0,0
3,Marley's Golden Mole,Afrosoricida,Chrysochloridae,Amblysomus,Amblysomus marleyi,B1,F5,1,2,0,F5,0,F5,NA,NA,NA,NA,1,1,1,0,NA,1,0,0
4,Robust Golden Mole,Afrosoricida,Chrysochloridae,Amblysomus,Amblysomus robustus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1,26.87,NA,1,0,0
5,Highveld Golden Mole,Afrosoricida,Chrysochloridae,Amblysomus,Amblysomus septentrionalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,0,0
6,Congo Golden Mole ,Afrosoricida,Chrysochloridae,Huetia,Huetia leucorhina,A1,B5,1,2,0,NA,0,B5,NA,NA,NA,NA,0,NA,1,NA,NA,0,0,0
7,Yellow Golden Mole,Afrosoricida,Chrysochloridae,Calcochloris,Calcochloris obtusirostris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,11.54,NA,0,0,0
8,Somali Golden Mole,Afrosoricida,Chrysochloridae,Calcochloris,Calcochloris tytonis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0
9,Arend's Golden Mole,Afrosoricida,Chrysochloridae,Carpitalpa,Carpitalpa arendsi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14.14,NA,0,0,0
10,Duthie's Golden Mole,Afrosoricida,Chrysochloridae,Chlorotalpa,Chlorotalpa duthieae,F4,NA,0,1,0,NA,0,F5,NA,NA,NA,NA,0,1,1,42.55,NA,0,0,0
11,Sclater's Golden Mole,Afrosoricida,Chrysochloridae,Chlorotalpa,Chlorotalpa sclateri,F2,F4,1,2,0,NA,0,F2,NA,NA,NA,NA,0,4,1,8.57,NA,0,0,0
12,Cape Golden Mole,Afrosoricida,Chrysochloridae,Chrysochloris,Chrysochloris asiatica,B5,A1,1,2,0,NA,0,B5,NA,NA,NA,NA,0,1,1,NA,NA,0,0,0
13,Stuhlmann's Golden Mole,Afrosoricida,Chrysochloridae,Chrysochloris,Chrysochloris stuhlmanni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,0,0,0
14,Visagie's Golden Mole,Afrosoricida,Chrysochloridae,Chrysochloris,Chrysochloris visagiei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,0,0
15,Giant Golden Mole,Afrosoricida,Chrysochloridae,Chrysospalax,Chrysospalax trevelyani,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3.3,2,0,0,0
